"","OpenTime","Open","High","Low","Close","CloseTime","BaseAssetVolume","NumberOfTrades","TakerBuyVolume","TakerBuyBaseAssetVolume","Ignore","NA"
"43",2017-09-28,309.81,311.81,296.89,302.44,1970-01-01 00:00:06,1506643199999,2009233.8887105,10534,2210.54916,674345.9209191,0
"44",2017-09-29,302.44,303,274,292.22,1970-01-01 00:00:11,1506729599999,3213725.0903979,13098,5176.62946,1501566.8615152,0
"45",2017-09-30,292.62,307.49,292.22,304.36,1970-01-01 00:00:04,1506815999999,1214456.8380462,8168,1645.11941,497660.508059,0
"46",2017-10-01,305.13,306,294,303.95,1970-01-01 00:00:05,1506902399999,1518988.30299,8900,1496.73509,449595.1195591,0
"47",2017-10-02,303.94,305,295,296.5,1970-01-01 00:00:03,1506988799999,1116501.2248122,7454,1398.52021,421273.0243823,0
"48",2017-10-03,298.15,301.99,283.18,292.48,1970-01-01 00:00:05,1507075199999,1622460.7267746,9327,2105.27684,616540.7336968,0
"49",2017-10-04,292.47,297.97,288,291.99,1970-01-01 00:00:04,1507161599999,1176260.2171869,7233,2030.795,596758.0568808,0
"50",2017-10-05,290,297.44,285.53,294.81,1970-01-01 00:00:03,1507247999999,994768.4954065,6125,1684.82069,492521.5792853,0
"51",2017-10-06,294.78,310.8,293.78,310.8,1970-01-01 00:00:03,1507334399999,1063779.3539251,6064,1965.17959,590729.7618607,0
"52",2017-10-07,309.9,318.5,303.6,311.01,1970-01-01 00:00:02,1507420799999,672026.6685328,4289,1031.34817,320575.6411122,0
"53",2017-10-08,311.08,317.07,309,311.07,1970-01-01 00:00:02,1507507199999,923989.787554,6247,1069.23508,334539.357012,0
"54",2017-10-09,311.13,312.13,286.65,297.19,1970-01-01 00:00:04,1507593599999,1462524.6249531,8680,1575.93338,472759.5852128,0
"55",2017-10-10,297.35,308.56,293,298.64,1970-01-01 00:00:06,1507679999999,2028540.4729273,9392,3979.8636,1200692.0389299,0
"56",2017-10-11,300.88,305.5,298.02,304.01,1970-01-01 00:00:03,1507766399999,1125331.5033572,4079,1923.79902,581977.2978289,0
"57",2017-10-12,304.01,310,302.71,303.99,1970-01-01 00:00:07,1507852799999,2397065.1633671,4956,3436.20226,1053317.9715572,0
"58",2017-10-13,303.52,353.96,297,337.96,1970-01-01 00:00:17,1507939199999,5832987.2559101,9898,7538.17104,2469530.2629596,0
"59",2017-10-14,337.96,349.8,335,342,1970-01-01 00:00:07,1508025599999,2655702.1145455,5703,3790.50687,1304246.7919927,0
"60",2017-10-15,342,348,316.17,337.96,1970-01-01 00:00:10,1508111999999,3326752.5971166,6822,4957.44824,1652285.7219957,0
"61",2017-10-16,337.5,354,332.78,335.19,1970-01-01 00:00:08,1508198399999,2956522.0417874,6586,4424.03339,1511172.9129401,0
"62",2017-10-17,335.18,336.58,312.65,315.19,1970-01-01 00:00:08,1508284799999,2638150.8892904,6837,3297.06736,1069520.4162513,0
"63",2017-10-18,315.19,318,284.68,309.7,1970-01-01 00:00:12,1508371199999,3915770.1544675,9801,6592.08304,2005598.3141489,0
"64",2017-10-19,311.52,315,300,308.66,1970-01-01 00:00:08,1508457599999,2675399.8602425,6769,4110.58984,1269506.2481589,0
"65",2017-10-20,308.66,311.18,302,304.51,1970-01-01 00:00:08,1508543999999,2667391.8997551,6812,3042.73881,932164.5043713,0
"66",2017-10-21,304.51,305.34,290,298.94,1970-01-01 00:00:08,1508630399999,2558677.4115428,6343,4286.76965,1278052.9283119,0
"67",2017-10-22,298.99,306.99,290,293.79,1970-01-01 00:00:07,1508716799999,2120546.5470225,5828,3305.51785,977321.1430991,0
"68",2017-10-23,293.78,294.6,272.2,281.09,1970-01-01 00:00:09,1508803199999,2743010.9877028,6524,5255.49466,1493898.2383324,0
"69",2017-10-24,282.27,310,275.5,297.38,1970-01-01 00:00:14,1508889599999,4253110.3195806,8026,8185.36518,2480346.5383804,0
"70",2017-10-25,295.43,300,281,294.49,1970-01-01 00:00:09,1508975999999,2840747.3846263,6796,4062.96246,1191187.6521059,0
"71",2017-10-26,294.1,299.76,291.03,294.71,1970-01-01 00:00:07,1509062399999,2306446.3337328,6557,3502.44576,1034906.2906169,0
"72",2017-10-27,294.72,298.1,292.03,296.33,1970-01-01 00:00:06,1509148799999,1852704.4161056,5899,2478.34843,733169.1511911,0
"73",2017-10-28,296.14,297,290.1,291.87,1970-01-01 00:00:05,1509235199999,1715796.7941936,5589,2343.52663,688114.5248454,0
"74",2017-10-29,291.86,309.4,291.86,305,1970-01-01 00:00:09,1509321599999,2716332.8153886,6947,3673.09724,1108293.788686,0
"75",2017-10-30,305,316,302.1,307.25,1970-01-01 00:00:08,1509407999999,2751568.6365363,6421,4751.89487,1464093.3140304,0
"76",2017-10-31,305.95,309.99,304.01,304.9,1970-01-01 00:00:07,1509494399999,2347542.8648317,7744,3070.74748,944596.8343661,0
"77",2017-11-01,304.89,305.9,286.34,287.01,1970-01-01 00:00:09,1509580799999,2948801.7063006,12038,3264.6181,981818.7579919,0
"78",2017-11-02,287.3,293,274.73,283.12,1970-01-01 00:00:13,1509667199999,3810829.6596733,13600,4726.14435,1347012.8971022,0
"79",2017-11-03,283.12,307,282,304.08,1970-01-01 00:00:08,1509753599999,2400297.6347816,8973,3439.34248,1009675.1728016,0
"80",2017-11-04,304.09,304.99,292.11,298.04,1970-01-01 00:00:07,1509839999999,2333944.7608054,9036,3652.33313,1089665.5338768,0
"81",2017-11-05,298.1,302.14,293.13,295.53,1970-01-01 00:00:06,1509926399999,1974433.013513,7513,3403.76089,1013349.9678548,0
"82",2017-11-06,295.19,305.58,290.11,297.97,1970-01-01 00:00:07,1510012799999,2233482.6122626,7898,2768.12495,823872.9723537,0
"83",2017-11-07,297.25,303.52,287,291.78,1970-01-01 00:00:09,1510099199999,2765345.5827772,8788,3541.77071,1041355.9371219,0
"84",2017-11-08,291.31,320,290.02,303.02,1970-01-01 00:00:15,1510185599999,4839176.806813,14402,7621.19678,2314876.9042327,0
"85",2017-11-09,303.6,329,299.5,317.87,1970-01-01 00:00:11,1510271999999,3527294.7503346,8208,5438.08042,1718346.8231336,0
"86",2017-11-10,318.5,322.65,285.82,293.5,1970-01-01 00:00:15,1510358399999,4762536.5850516,9253,7799.9111,2384691.4816294,0
"87",2017-11-11,293.52,318,291.91,310.02,1970-01-01 00:00:10,1510444799999,3282643.0277861,8646,5001.69556,1515726.7324973,0
"88",2017-11-12,310.87,316.99,281.01,305.24,1970-01-01 00:00:21,1510531199999,6345603.7706789,13661,9589.62986,2900669.9964922,0
"89",2017-11-13,304,318.88,303.7,312.99,1970-01-01 00:00:15,1510617599999,4852265.3955649,9066,7170.70938,2242103.2845542,0
"90",2017-11-14,313,337.54,312.94,335.61,1970-01-01 00:00:17,1510703999999,5756893.4527936,11711,8919.59659,2901086.0739194,0
"91",2017-11-15,335.6,339,324,331.33,1970-01-01 00:00:15,1510790399999,5178507.4572747,10036,7036.5064,2338129.6177232,0
"92",2017-11-16,330.98,334.75,321.41,331.49,1970-01-01 00:00:14,1510876799999,4638262.2625835,9493,6014.42341,1974043.7196371,0
"93",2017-11-17,331.49,334.6,323.84,331.23,1970-01-01 00:00:18,1510963199999,5954175.9400211,11548,9389.65878,3102187.4682219,0
"94",2017-11-18,331.2,349.9,326.01,346.66,1970-01-01 00:00:14,1511049599999,4780354.335408,10690,7672.43904,2559237.1123193,0
"95",2017-11-19,346.66,373.56,343.07,354.15,1970-01-01 00:00:19,1511135999999,6895884.0624029,10509,9931.92637,3532022.4845988,0
"96",2017-11-20,355.15,372.5,353.9,367.42,1970-01-01 00:00:18,1511222399999,6600961.958264,11553,9171.44481,3318132.2571167,0
"97",2017-11-21,367.42,375.5,350.02,362.12,1970-01-01 00:00:26,1511308799999,9556690.2312402,14762,12579.43792,4586895.6041716,0
"98",2017-11-22,362.12,384.84,359,380.65,1970-01-01 00:00:18,1511395199999,6654403.0898495,10386,9745.17516,3590374.5272574,0
"99",2017-11-23,380.63,425,370.02,405,1970-01-01 00:00:25,1511481599999,10084943.0895568,12731,14505.14543,5758239.6340983,0
"100",2017-11-24,405.03,475,392.8,469,1970-01-01 00:00:30,1511567999999,13089282.2114721,15706,15383.97249,6660202.9646325,0
"101",2017-11-25,467.57,484.47,450,461.82,1970-01-01 00:00:21,1511654399999,9958206.2564553,13282,9560.74839,4449274.4617491,0
"102",2017-11-26,461,465,436.14,462.84,1970-01-01 00:00:21,1511740799999,9854650.9432016,13955,9455.95178,4305399.4791836,0
"103",2017-11-27,462.84,486.94,453,472.31,1970-01-01 00:00:23,1511827199999,11199192.4016095,15797,10794.57638,5093374.5782972,0
"104",2017-11-28,472.32,477.5,453.5,466.17,1970-01-01 00:00:23,1511913599999,11224970.9334287,12944,10904.08622,5113522.343179,0
"105",2017-11-29,466.17,515,385,421.7,1970-01-01 00:00:51,1511999999999,23657537.251193,23835,23825.39377,11029389.6810454,0
"106",2017-11-30,421.92,460,387.01,427.43,1970-01-01 00:00:45,1512086399999,19125706.0007665,22805,24018.42012,10172953.0960846,0
"107",2017-12-01,428.05,465.97,413.74,457.51,1970-01-01 00:00:33,1512172799999,14471054.869735,19944,19043.24922,8328610.9814412,0
"108",2017-12-02,457.53,471.91,445,457.63,1970-01-01 00:00:25,1512259199999,11883272.7996642,18388,12336.59141,5685998.3052922,0
"109",2017-12-03,457.31,485.9,440.11,460.3,1970-01-01 00:00:24,1512345599999,11436416.9241977,21404,12239.10293,5721801.0534579,0
"110",2017-12-04,460.3,470.98,445,466.67,1970-01-01 00:00:23,1512431999999,10662508.8497644,20049,11708.14715,5390172.6977393,0
"111",2017-12-05,466.66,468.67,445.21,452.26,1970-01-01 00:00:25,1512518399999,11663673.2864895,19373,12902.22244,5935255.777238,0
"112",2017-12-06,452.26,455.1,400,411.01,1970-01-01 00:00:38,1512604799999,16767914.2566097,24522,16000.21644,6945785.8997376,0
"113",2017-12-07,413.5,427.61,375.01,406.33,1970-01-01 00:00:41,1512691199999,16842079.0919012,30163,17174.99356,7025122.8121147,0
"114",2017-12-08,406.52,456.78,390,442.56,1970-01-01 00:00:41,1512777599999,17430991.9590521,42348,17149.6329,7318210.6244088,0
"115",2017-12-09,442.56,488,426.4,460,1970-01-01 00:00:41,1512863999999,19341744.4130386,35517,20439.87165,9429536.5339238,0
"116",2017-12-10,460,460.05,403.2,427.35,1970-01-01 00:00:34,1512950399999,15125760.6157025,32416,15317.92712,6644966.0107937,0
"117",2017-12-11,427.35,512,427.35,508.7,1970-01-01 00:00:29,1513036799999,13776239.5826501,28773,14163.91481,6587249.8411079,0
"118",2017-12-12,508.44,639.27,494.89,620,1970-01-01 00:00:59,1513123199999,33241867.0335295,66420,30066.72168,16943769.8414255,0
"119",2017-12-13,622,705.69,539.93,683.99,1970-01-01 00:00:57,1513209599999,36344921.4647994,55759,28508.57887,18035820.0508494,0
"120",2017-12-14,683.98,747.6,630.5,679.76,1970-01-01 00:01:00,1513295999999,41882857.095261,51279,30685.47276,21096463.0982719,0
"121",2017-12-15,679.76,689,594.6,674.95,1970-01-01 00:00:39,1513382399999,25891535.6969439,38469,17125.09695,11225974.5947701,0
"122",2017-12-16,673.75,712,669.22,682.81,1970-01-01 00:00:26,1513468799999,18466770.7325109,25236,12518.18939,8621540.3507179,0
"123",2017-12-17,681.8,728,680.33,707.64,1970-01-01 00:00:31,1513555199999,22242667.2153362,36094,16831.51917,11929457.9022288,0
"124",2017-12-18,707.62,798.88,638,784,1970-01-01 00:00:45,1513641599999,32799947.5744694,40460,25894.22216,18738099.8282732,0
"125",2017-12-19,784,864.9,729.01,798,1970-01-01 00:01:09,1513727999999,55123972.0160901,57020,35335.29681,28200283.2140873,0
"126",2017-12-20,798,828,661,790.21,1970-01-01 00:01:12,1513814399999,55604509.7531012,58344,31819.17997,24498518.3699567,0
"127",2017-12-21,794.62,845.99,705.98,782.41,1970-01-01 00:01:18,1513900799999,62052521.6509025,57627,42391.625,33836866.1276715,0
"128",2017-12-22,784,796,504.99,635.97,1970-01-01 00:02:34,1513987199999,98661808.4822484,113138,72411.90221,46364952.4994994,0
"129",2017-12-23,635.15,714.99,627.97,640.34,1970-01-01 00:01:19,1514073599999,53738833.8806143,79260,42804.08114,29157507.58909,0
"130",2017-12-24,640.33,667.64,563.49,658,1970-01-01 00:01:35,1514159999999,59101715.1506293,108808,46121.82453,28654615.7197555,0
"131",2017-12-25,659.4,744,599.99,714.95,1970-01-01 00:01:18,1514246399999,55108579.6840084,86060,43032.9593,30201608.5770915,0
"132",2017-12-26,713.12,750,712.56,750,1970-01-01 00:01:00,1514332799999,44216631.9019637,78690,31422.6779,23139437.7568363,0
"133",2017-12-27,750,766.05,693.18,739.89,1970-01-01 00:00:51,1514419199999,38102246.9866603,72364,25938.69371,19278946.1906518,0
"134",2017-12-28,739.89,744.93,645.88,707.89,1970-01-01 00:01:12,1514505599999,50030889.1110455,94413,35865.49648,24731619.6928581,0
"135",2017-12-29,709.5,757.87,703,733.99,1970-01-01 00:01:04,1514591999999,46838775.8175808,89024,31777.71602,23266046.7578367,0
"136",2017-12-30,732.9,735,635.82,681.06,1970-01-01 00:01:29,1514678399999,61752153.6610781,123765,41572.44573,28554635.9955721,0
