"","OpenTime","Open","High","Low","Close","CloseTime","BaseAssetVolume","NumberOfTrades","TakerBuyVolume","TakerBuyBaseAssetVolume","Ignore","NA"
"100",2017-11-24,8019.97,8369,7850,8138,1970-01-01 00:00:04,1511567999999,35840264.4580405,19754,2166.425275,17613353.7393753,0
"101",2017-11-25,8138.99,8734.78,8090,8700.01,1970-01-01 00:00:04,1511654399999,36093005.2014019,18632,2294.9233,19306904.2049427,0
"102",2017-11-26,8700.04,9350,8604.72,9128.02,1970-01-01 00:00:04,1511740799999,37138533.8394187,19268,2035.291755,18226481.8895351,0
"103",2017-11-27,9128,9654.28,9112.04,9650,1970-01-01 00:00:04,1511827199999,42961064.9520293,22806,2433.447575,23145323.6494801,0
"104",2017-11-28,9650,9939,9570.5,9896.8,1970-01-01 00:00:04,1511913599999,48235644.0576554,18923,2431.138502,23851135.772847,0
"105",2017-11-29,9896.79,11300.03,8520,9687.88,1970-01-01 00:00:13,1511999999999,135976167.457579,47894,8662.632362,88423971.2894305,0
"106",2017-11-30,9687.88,10900,8850.8,9838.96,1970-01-01 00:00:09,1512086399999,91430904.3411639,41153,5360.660242,52384338.0359778,0
"107",2017-12-01,9837,10898,9380,10782.99,1970-01-01 00:00:06,1512172799999,62260697.5829155,32375,3269.868588,33193672.1659211,0
"108",2017-12-02,10775.04,11190,10620,10890.01,1970-01-01 00:00:04,1512259199999,52046689.8400695,29694,2390.194275,26111051.9790435,0
"109",2017-12-03,10902.69,11825,10500,11165.41,1970-01-01 00:00:05,1512345599999,60350708.2933278,39335,2574.246187,29090180.1629043,0
"110",2017-12-04,11165.41,11600,10802,11579,1970-01-01 00:00:04,1512431999999,52814985.6399307,32232,2516.855031,28512751.4716229,0
"111",2017-12-05,11571.03,11853,11447.68,11699.99,1970-01-01 00:00:05,1512518399999,64721253.0452784,31317,3135.630565,36570499.6554236,0
"112",2017-12-06,11699.99,13615.23,11665.58,13550.05,1970-01-01 00:00:06,1512604799999,84409526.6957618,40196,3830.098381,48223185.5658691,0
"113",2017-12-07,13541.01,16649.96,13050,16599,1970-01-01 00:00:07,1512691199999,109555325.346498,57541,3931.041376,57501459.7735542,0
"114",2017-12-08,16599,17204.99,14015,15880,1970-01-01 00:00:17,1512777599999,271586476.619143,84727,11950.291812,184080403.13797,0
"115",2017-12-09,15880.01,16269.3,12535,14656.07,1970-01-01 00:00:13,1512863999999,205372672.987864,66738,7988.323023,118308773.579717,0
"116",2017-12-10,14664.01,15720.12,12368,14899.98,1970-01-01 00:00:16,1512950399999,233767963.462015,80669,8736.869344,123176894.486067,0
"117",2017-12-11,14946.26,17470,14901.08,16587.97,1970-01-01 00:00:11,1513036799999,193045127.9036,71373,5905.234633,96386375.0581598,0
"118",2017-12-12,16587.97,16976.45,15875,16349.99,1970-01-01 00:00:09,1513123199999,155716213.098344,76032,4395.051525,72561808.3553577,0
"119",2017-12-13,16349.99,16546,14666.56,16033.29,1970-01-01 00:00:12,1513209599999,196769674.311531,83847,6127.957739,97124627.4857515,0
"120",2017-12-14,16030.34,16445,15450,16334.98,1970-01-01 00:00:11,1513295999999,186092495.183485,86150,5999.075173,96150362.1050604,0
"121",2017-12-15,16334.98,17991,16298.45,17539.83,1970-01-01 00:00:09,1513382399999,159809704.044087,85478,4712.5784,81924043.9404621,0
"122",2017-12-16,17516.81,19539,17190.01,19102.66,1970-01-01 00:00:04,1513468799999,76293721.3650831,51777,2308.847163,41958921.1781299,0
"123",2017-12-17,19120.19,19798.68,18510,18860.02,1970-01-01 00:00:09,1513555199999,175867439.470451,84581,4197.960835,80497172.9285552,0
"124",2017-12-18,18860.04,19300,17029.98,18856.25,1970-01-01 00:00:10,1513641599999,196339245.745198,91956,4690.302146,86666689.0640536,0
"125",2017-12-19,18856.25,18950,16300,17295.2,1970-01-01 00:00:13,1513727999999,232790625.923367,116569,5740.506184,101134115.920165,0
"126",2017-12-20,17295.2,17720.35,14777.66,16488.98,1970-01-01 00:00:13,1513814399999,221193892.502239,129762,5732.664035,94404363.825319,0
"127",2017-12-21,16480.52,17309.5,14022,15492.64,1970-01-01 00:00:20,1513900799999,320176825.290376,117731,11672.760789,184537677.792389,0
"128",2017-12-22,15514.03,15699.34,10961,13326.61,1970-01-01 00:00:36,1513987199999,477509934.718286,243261,17556.682449,233435309.648319,0
"129",2017-12-23,13326.61,14950,12978.18,13300,1970-01-01 00:00:13,1514073599999,184759685.332067,135005,6547.667326,92098774.4608775,0
"130",2017-12-24,13300,13819.99,11640,13500,1970-01-01 00:00:28,1514159999999,365709589.603029,173557,15365.113545,196993097.073321,0
"131",2017-12-25,13500,14300,12708,13699.34,1970-01-01 00:00:15,1514246399999,213139657.628915,116416,8834.650938,119703848.859626,0
"132",2017-12-26,13699.34,16050,13533,15689.01,1970-01-01 00:00:15,1514332799999,224843731.896569,133133,8436.171298,125842113.786615,0
"133",2017-12-27,15709.98,16498.05,14200.15,15459.99,1970-01-01 00:00:14,1514419199999,231229932.482041,142202,7843.419761,121346099.972218,0
"134",2017-12-28,15459.97,15539.99,13150,14182.11,1970-01-01 00:00:21,1514505599999,303401227.98652,178032,11431.787691,159795892.050032,0
"135",2017-12-29,14199.14,14981,13850,14378.9,1970-01-01 00:00:18,1514591999999,260911629.218077,142100,10502.69575,151673949.962079,0
